test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,4,16,2,GF(32),and,5.9604644775390625e-06,,0,0,True,1,0,"[1, 0, 0, 0, 1, 0, 3, 0, 0, 3, 0, 3, 3, 1, 1, 1]"
logn_loglogn,4,16,2,GF(32),and,204.1783332824707,12,0,0,True,1,0,"[1, 0, 0, 0, 1, 0, 3, 0, 0, 3, 0, 3, 3, 1, 1, 1]"
baseline_plain,4,16,2,GF(32),and,7.152557373046875e-06,,0,0,True,2,0,"[2, 2, 1, 2, 2, 3, 0, 3, 0, 3, 2, 0, 0, 1, 2, 0]"
logn_loglogn,4,16,2,GF(32),and,203.07820987701416,12,0,0,True,2,0,"[2, 2, 1, 2, 2, 3, 0, 3, 0, 3, 2, 0, 0, 1, 2, 0]"
baseline_plain,4,16,2,GF(32),and,1.2874603271484375e-05,,0,0,True,3,0,"[2, 1, 2, 1, 1, 1, 2, 2, 1, 3, 2, 3, 2, 3, 0, 1]"
logn_loglogn,4,16,2,GF(32),and,203.52424120903015,12,0,0,True,3,0,"[2, 1, 2, 1, 1, 1, 2, 2, 1, 3, 2, 3, 2, 3, 0, 1]"
baseline_plain,4,16,2,GF(32),and,6.4373016357421875e-06,,0,0,True,4,0,"[1, 3, 0, 1, 1, 1, 0, 2, 1, 0, 0, 3, 2, 0, 3, 3]"
logn_loglogn,4,16,2,GF(32),and,202.42539596557617,12,0,0,True,4,0,"[1, 3, 0, 1, 1, 1, 0, 2, 1, 0, 0, 3, 2, 0, 3, 3]"
baseline_plain,4,16,2,GF(32),and,5.9604644775390625e-06,,0,0,True,5,0,"[0, 1, 2, 3, 0, 0, 1, 0, 1, 3, 1, 0, 2, 0, 1, 0]"
logn_loglogn,4,16,2,GF(32),and,203.91902780532837,12,0,0,True,5,0,"[0, 1, 2, 3, 0, 0, 1, 0, 1, 3, 1, 0, 2, 0, 1, 0]"
baseline_plain,4,16,2,GF(32),and,6.9141387939453125e-06,,0,0,True,6,0,"[3, 0, 2, 3, 1, 3, 0, 0, 2, 1, 0, 0, 1, 3, 1, 0]"
logn_loglogn,4,16,2,GF(32),and,202.52718687057495,12,0,0,True,6,0,"[3, 0, 2, 3, 1, 3, 0, 0, 2, 1, 0, 0, 1, 3, 1, 0]"
baseline_plain,4,16,2,GF(32),and,5.4836273193359375e-06,,0,0,True,7,0,"[2, 0, 0, 1, 3, 2, 3, 2, 0, 2, 3, 1, 3, 1, 3, 0]"
logn_loglogn,4,16,2,GF(32),and,202.34824967384338,12,0,0,True,7,0,"[2, 0, 0, 1, 3, 2, 3, 2, 0, 2, 3, 1, 3, 1, 3, 0]"
baseline_plain,4,16,2,GF(32),and,5.9604644775390625e-06,,0,0,True,8,0,"[0, 2, 2, 0, 0, 3, 1, 1, 0, 2, 3, 1, 1, 3, 0, 3]"
logn_loglogn,4,16,2,GF(32),and,201.7932710647583,12,0,0,True,8,0,"[0, 2, 2, 0, 0, 3, 1, 1, 0, 2, 3, 1, 1, 3, 0, 3]"
baseline_plain,4,16,2,GF(32),and,7.62939453125e-06,,0,0,True,9,0,"[2, 2, 1, 3, 0, 1, 2, 0, 0, 1, 0, 2, 3, 1, 1, 0]"
logn_loglogn,4,16,2,GF(32),and,202.84251403808594,12,0,0,True,9,0,"[2, 2, 1, 3, 0, 1, 2, 0, 0, 1, 0, 2, 3, 1, 1, 0]"
baseline_plain,2,4,3,GF(32),xor,4.76837158203125e-06,,1,1,True,0,0,"[7, 2, 2, 6]"
logn_loglogn,2,4,3,GF(32),xor,0.019620656967163086,27,1,1,True,0,0,"[7, 2, 2, 6]"
baseline_plain,2,4,3,GF(32),xor,3.0994415283203125e-06,,4,4,True,1,0,"[5, 4, 2, 7]"
logn_loglogn,2,4,3,GF(32),xor,0.019696474075317383,27,4,4,True,1,0,"[5, 4, 2, 7]"
baseline_plain,2,4,3,GF(32),xor,2.6226043701171875e-06,,7,7,True,2,0,"[7, 2, 6, 4]"
logn_loglogn,2,4,3,GF(32),xor,0.019240140914916992,27,7,7,True,2,0,"[7, 2, 6, 4]"
baseline_plain,2,4,3,GF(32),xor,3.0994415283203125e-06,,6,6,True,3,0,"[1, 7, 5, 5]"
logn_loglogn,2,4,3,GF(32),xor,0.020092487335205078,27,6,6,True,3,0,"[1, 7, 5, 5]"
baseline_plain,2,4,3,GF(32),xor,3.5762786865234375e-06,,1,1,True,4,0,"[6, 5, 5, 7]"
logn_loglogn,2,4,3,GF(32),xor,0.020113229751586914,27,1,1,True,4,0,"[6, 5, 5, 7]"
baseline_plain,2,4,3,GF(32),xor,3.337860107421875e-06,,4,4,True,5,0,"[1, 4, 6, 7]"
logn_loglogn,2,4,3,GF(32),xor,0.020613670349121094,27,4,4,True,5,0,"[1, 4, 6, 7]"
baseline_plain,2,4,3,GF(32),xor,3.0994415283203125e-06,,0,0,True,6,0,"[0, 6, 4, 2]"
logn_loglogn,2,4,3,GF(32),xor,0.019533634185791016,27,0,0,True,6,0,"[0, 6, 4, 2]"
baseline_plain,2,4,3,GF(32),xor,2.86102294921875e-06,,1,1,True,7,0,"[6, 6, 6, 7]"
