test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,4,16,2,GF(32),xor,206.377512216568,6,19174747,3,3,True,5,0,"[3, 3, 1, 3, 0, 1, 3, 0, 2, 1, 0, 2, 1, 3, 2, 2]"
baseline_plain,4,16,2,GF(32),xor,1.621246337890625e-05,5,17,3,3,True,6,0,"[1, 1, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 1, 2]"
logn_loglogn,4,16,2,GF(32),xor,203.1249659061432,6,19174747,3,3,True,6,0,"[1, 1, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 1, 2]"
baseline_plain,4,16,2,GF(32),xor,1.4781951904296875e-05,6,33,0,0,True,7,0,"[2, 3, 1, 3, 3, 0, 1, 2, 0, 1, 1, 1, 0, 0, 1, 3]"
logn_loglogn,4,16,2,GF(32),xor,205.89435124397278,6,19174747,0,0,True,7,0,"[2, 3, 1, 3, 3, 0, 1, 2, 0, 1, 1, 1, 0, 0, 1, 3]"
baseline_plain,4,16,2,GF(32),xor,1.52587890625e-05,7,46,0,0,True,8,0,"[2, 0, 0, 1, 2, 2, 1, 3, 1, 0, 3, 0, 2, 0, 0, 1]"
logn_loglogn,4,16,2,GF(32),xor,207.0641565322876,6,19174747,0,0,True,8,0,"[2, 0, 0, 1, 2, 2, 1, 3, 1, 0, 3, 0, 2, 0, 0, 1]"
baseline_plain,4,16,2,GF(32),xor,1.430511474609375e-05,5,15,0,0,True,9,0,"[0, 0, 0, 0, 2, 3, 2, 0, 3, 0, 3, 1, 1, 2, 1, 0]"
logn_loglogn,4,16,2,GF(32),xor,208.89829564094543,6,19174747,0,0,True,9,0,"[0, 0, 0, 0, 2, 3, 2, 0, 3, 0, 3, 1, 1, 2, 1, 0]"
baseline_plain,2,4,2,GF(32),and,7.867813110351562e-06,3,6,0,0,True,0,0,"[1, 2, 1, 2]"
logn_loglogn,2,4,2,GF(32),and,0.016369342803955078,6,1247,0,0,True,0,0,"[1, 2, 1, 2]"
baseline_plain,2,4,2,GF(32),and,1.8596649169921875e-05,1,2,0,0,True,1,0,"[0, 1, 1, 0]"
logn_loglogn,2,4,2,GF(32),and,0.015155315399169922,6,1247,0,0,True,1,0,"[0, 1, 1, 0]"
baseline_plain,2,4,2,GF(32),and,7.3909759521484375e-06,4,6,0,0,True,2,0,"[3, 0, 3, 2]"
logn_loglogn,2,4,2,GF(32),and,0.01479029655456543,6,1247,0,0,True,2,0,"[3, 0, 3, 2]"
baseline_plain,2,4,2,GF(32),and,8.106231689453125e-06,4,4,0,0,True,3,0,"[0, 2, 0, 3]"
logn_loglogn,2,4,2,GF(32),and,0.013485193252563477,6,1247,0,0,True,3,0,"[0, 2, 0, 3]"
baseline_plain,2,4,2,GF(32),and,1.1205673217773438e-05,3,5,0,0,True,4,0,"[2, 0, 1, 2]"
logn_loglogn,2,4,2,GF(32),and,0.013702154159545898,6,1247,0,0,True,4,0,"[2, 0, 1, 2]"
baseline_plain,2,4,2,GF(32),and,8.344650268554688e-06,6,9,0,0,True,5,0,"[1, 1, 2, 3]"
logn_loglogn,2,4,2,GF(32),and,0.015566825866699219,6,1247,0,0,True,5,0,"[1, 1, 2, 3]"
baseline_plain,2,4,2,GF(32),and,7.62939453125e-06,3,3,0,0,True,6,0,"[3, 0, 1, 0]"
logn_loglogn,2,4,2,GF(32),and,0.013420343399047852,6,1247,0,0,True,6,0,"[3, 0, 1, 0]"
baseline_plain,2,4,2,GF(32),and,7.3909759521484375e-06,5,7,0,0,True,7,0,"[1, 2, 3, 3]"
logn_loglogn,2,4,2,GF(32),and,0.013478755950927734,6,1247,0,0,True,7,0,"[1, 2, 3, 3]"
baseline_plain,2,4,2,GF(32),and,7.62939453125e-06,4,10,0,0,True,8,0,"[3, 3, 0, 0]"
logn_loglogn,2,4,2,GF(32),and,0.013978719711303711,6,1247,0,0,True,8,0,"[3, 3, 0, 0]"
baseline_plain,2,4,2,GF(32),and,7.152557373046875e-06,5,12,0,0,True,9,0,"[2, 2, 1, 1]"
logn_loglogn,2,4,2,GF(32),and,0.014388084411621094,6,1247,0,0,True,9,0,"[2, 2, 1, 1]"
baseline_plain,3,8,2,GF(32),and,1.0013580322265625e-05,5,11,0,0,True,0,0,"[0, 3, 3, 1, 1, 2, 3, 1]"
logn_loglogn,3,8,2,GF(32),and,1.8549847602844238,6,154635,0,0,True,0,0,"[0, 3, 3, 1, 1, 2, 3, 1]"
baseline_plain,3,8,2,GF(32),and,1.0967254638671875e-05,6,26,0,0,True,1,0,"[2, 3, 2, 3, 2, 2, 0, 0]"
logn_loglogn,3,8,2,GF(32),and,1.6764147281646729,6,154635,0,0,True,1,0,"[2, 3, 2, 3, 2, 2, 0, 0]"
baseline_plain,3,8,2,GF(32),and,9.298324584960938e-06,4,10,0,0,True,2,0,"[0, 2, 2, 3, 3, 3, 0, 0]"
logn_loglogn,3,8,2,GF(32),and,1.6639819145202637,6,154635,0,0,True,2,0,"[0, 2, 2, 3, 3, 3, 0, 0]"
baseline_plain,3,8,2,GF(32),and,9.298324584960938e-06,7,23,0,0,True,3,0,"[2, 3, 0, 0, 0, 2, 2, 1]"
logn_loglogn,3,8,2,GF(32),and,1.686689853668213,6,154635,0,0,True,3,0,"[2, 3, 0, 0, 0, 2, 2, 1]"
baseline_plain,3,8,2,GF(32),and,9.298324584960938e-06,5,10,0,0,True,4,0,"[3, 0, 0, 3, 2, 1, 1, 2]"
logn_loglogn,3,8,2,GF(32),and,1.6845242977142334,6,154635,0,0,True,4,0,"[3, 0, 0, 3, 2, 1, 1, 2]"
baseline_plain,3,8,2,GF(32),and,9.059906005859375e-06,6,26,0,0,True,5,0,"[3, 2, 3, 2, 0, 2, 2, 0]"
logn_loglogn,3,8,2,GF(32),and,1.6404094696044922,6,154635,0,0,True,5,0,"[3, 2, 3, 2, 0, 2, 2, 0]"
baseline_plain,3,8,2,GF(32),and,1.7404556274414062e-05,6,18,0,0,True,6,0,"[3, 1, 3, 1, 1, 2, 3, 0]"
logn_loglogn,3,8,2,GF(32),and,1.6097354888916016,6,154635,0,0,True,6,0,"[3, 1, 3, 1, 1, 2, 3, 0]"
baseline_plain,3,8,2,GF(32),and,9.059906005859375e-06,5,8,0,0,True,7,0,"[3, 0, 1, 0, 0, 2, 1, 2]"
logn_loglogn,3,8,2,GF(32),and,1.6165053844451904,6,154635,0,0,True,7,0,"[3, 0, 1, 0, 0, 2, 1, 2]"
baseline_plain,3,8,2,GF(32),and,8.821487426757812e-06,4,15,0,0,True,8,0,"[1, 1, 0, 3, 1, 1, 0, 3]"
logn_loglogn,3,8,2,GF(32),and,1.6349725723266602,6,154635,0,0,True,8,0,"[1, 1, 0, 3, 1, 1, 0, 3]"
baseline_plain,3,8,2,GF(32),and,9.059906005859375e-06,5,11,0,0,True,9,0,"[0, 2, 0, 3, 3, 2, 3, 1]"
logn_loglogn,3,8,2,GF(32),and,1.6188368797302246,6,154635,0,0,True,9,0,"[0, 2, 0, 3, 3, 2, 3, 1]"
