depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
3,8,3,GF(32),xor,2.417531967163086,27.0,3,3,True,5,0,"[3, 5, 4, 6, 4, 5, 0, 6]"
3,8,3,GF(32),xor,2.424574375152588,27.0,3,3,True,6,0,"[7, 7, 3, 6, 4, 0, 7, 5]"
3,8,3,GF(32),xor,2.4055850505828857,27.0,1,1,True,7,0,"[4, 7, 4, 3, 3, 0, 4, 2]"
3,8,3,GF(32),xor,2.4158434867858887,27.0,2,2,True,8,0,"[7, 4, 1, 2, 1, 0, 6, 5]"
3,8,3,GF(32),xor,2.4207441806793213,27.0,3,3,True,9,0,"[5, 5, 3, 6, 4, 1, 7, 4]"
4,16,3,GF(32),xor,301.03493332862854,27.0,2,2,True,0,0,"[6, 2, 2, 6, 2, 0, 1, 4, 0, 5, 4, 2, 1, 1, 4, 2]"
4,16,3,GF(32),xor,301.8360204696655,27.0,5,5,True,1,0,"[7, 0, 5, 7, 4, 5, 7, 3, 2, 0, 1, 2, 4, 0, 7, 7]"
4,16,3,GF(32),xor,304.8019573688507,27.0,2,2,True,2,0,"[6, 6, 7, 2, 6, 1, 2, 4, 1, 6, 7, 5, 4, 3, 6, 2]"
4,16,3,GF(32),xor,291.0154459476471,27.0,4,4,True,3,0,"[5, 6, 3, 1, 3, 2, 4, 6, 2, 4, 4, 7, 7, 1, 0, 5]"
4,16,3,GF(32),xor,279.5782747268677,27.0,7,7,True,4,0,"[1, 3, 7, 1, 4, 7, 6, 4, 0, 0, 1, 0, 2, 2, 6, 5]"
4,16,3,GF(32),xor,277.93534445762634,27.0,7,7,True,5,0,"[3, 3, 0, 0, 5, 5, 7, 4, 1, 7, 2, 2, 5, 1, 6, 0]"
4,16,3,GF(32),xor,279.73528504371643,27.0,6,6,True,6,0,"[4, 5, 4, 3, 3, 0, 7, 1, 1, 5, 1, 0, 2, 1, 1, 2]"
4,16,3,GF(32),xor,279.7061560153961,27.0,0,0,True,7,0,"[3, 6, 0, 3, 5, 4, 1, 2, 5, 5, 0, 0, 6, 1, 1, 2]"
4,16,3,GF(32),xor,280.8059718608856,27.0,1,1,True,8,0,"[1, 6, 3, 1, 5, 5, 7, 7, 6, 0, 4, 4, 6, 6, 4, 6]"
4,16,3,GF(32),xor,324.4436049461365,27.0,2,2,True,9,0,"[6, 7, 2, 7, 7, 4, 2, 1, 5, 6, 2, 3, 5, 5, 0, 4]"
2,4,3,GF(32),and,0.02657938003540039,27.0,0,0,True,0,0,"[2, 5, 4, 5]"
2,4,3,GF(32),and,0.02505803108215332,27.0,2,2,True,1,0,"[2, 7, 3, 6]"
2,4,3,GF(32),and,0.021558523178100586,27.0,0,0,True,2,0,"[5, 5, 6, 1]"
2,4,3,GF(32),and,0.02344202995300293,27.0,0,0,True,3,0,"[0, 2, 2, 4]"
2,4,3,GF(32),and,0.024071216583251953,27.0,1,1,True,4,0,"[1, 3, 7, 3]"
2,4,3,GF(32),and,0.0228116512298584,27.0,0,0,True,5,0,"[3, 0, 4, 4]"
2,4,3,GF(32),and,0.02334737777709961,27.0,1,1,True,6,0,"[7, 1, 5, 3]"
2,4,3,GF(32),and,0.022763490676879883,27.0,0,0,True,7,0,"[3, 0, 1, 6]"
2,4,3,GF(32),and,0.020687103271484375,27.0,0,0,True,8,0,"[0, 4, 2, 4]"
2,4,3,GF(32),and,0.022161006927490234,27.0,1,1,True,9,0,"[1, 1, 5, 1]"
3,8,3,GF(32),and,2.9259326457977295,27.0,0,0,True,0,0,"[1, 3, 0, 3, 7, 2, 2, 7]"
3,8,3,GF(32),and,2.978618621826172,27.0,0,0,True,1,0,"[5, 0, 2, 5, 6, 5, 3, 5]"
3,8,3,GF(32),and,2.8418712615966797,27.0,0,0,True,2,0,"[5, 6, 7, 1, 0, 0, 3, 0]"
3,8,3,GF(32),and,2.9910309314727783,27.0,0,0,True,3,0,"[4, 1, 4, 7, 6, 4, 2, 2]"
3,8,3,GF(32),and,2.790771245956421,27.0,0,0,True,4,0,"[3, 4, 4, 1, 2, 1, 6, 5]"
3,8,3,GF(32),and,2.8143465518951416,27.0,0,0,True,5,0,"[7, 4, 1, 2, 2, 2, 4, 2]"
3,8,3,GF(32),and,2.9095284938812256,27.0,0,0,True,6,0,"[4, 1, 5, 1, 7, 1, 0, 2]"
3,8,3,GF(32),and,2.911745071411133,27.0,0,0,True,7,0,"[7, 4, 1, 6, 5, 1, 2, 4]"
3,8,3,GF(32),and,2.984626531600952,27.0,0,0,True,8,0,"[6, 3, 6, 6, 1, 5, 7, 7]"
3,8,3,GF(32),and,2.9055984020233154,27.0,0,0,True,9,0,"[3, 6, 3, 7, 0, 1, 0, 7]"
4,16,3,GF(32),and,344.59781217575073,27.0,0,0,True,0,0,"[2, 6, 3, 1, 2, 5, 6, 7, 5, 2, 0, 0, 2, 3, 7, 1]"
4,16,3,GF(32),and,335.80061769485474,27.0,0,0,True,1,0,"[2, 6, 0, 7, 6, 5, 0, 6, 7, 4, 3, 5, 1, 6, 1, 3]"
4,16,3,GF(32),and,336.36388778686523,27.0,0,0,True,2,0,"[5, 5, 2, 4, 6, 6, 3, 1, 4, 3, 2, 0, 5, 7, 2, 5]"
4,16,3,GF(32),and,379.9225699901581,27.0,0,0,True,3,0,"[7, 6, 3, 1, 7, 7, 2, 0, 6, 1, 2, 3, 4, 1, 0, 6]"
4,16,3,GF(32),and,789.053272485733,27.0,0,0,True,4,0,"[6, 7, 7, 0, 5, 0, 6, 2, 4, 3, 1, 1, 0, 0, 2, 4]"
4,16,3,GF(32),and,332.0041708946228,27.0,0,0,True,5,0,"[3, 0, 0, 3, 0, 7, 3, 6, 3, 1, 1, 2, 0, 1, 2, 5]"
4,16,3,GF(32),and,330.36611223220825,27.0,0,0,True,6,0,"[1, 4, 7, 0, 7, 1, 2, 2, 0, 2, 3, 7, 6, 4, 3, 6]"
4,16,3,GF(32),and,332.8131322860718,27.0,0,0,True,7,0,"[1, 2, 3, 6, 5, 3, 1, 7, 3, 5, 4, 5, 5, 6, 5, 5]"
4,16,3,GF(32),and,338.7445957660675,27.0,0,0,True,8,0,"[1, 4, 6, 6, 3, 7, 5, 3, 3, 5, 3, 1, 3, 5, 4, 1]"
