test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,3,8,3,GF(16),and,1.049041748046875e-05,9,21,0,0,True,2,0,"[1, 3, 1, 4, 4, 0, 3, 2]"
logn_loglogn,3,8,3,GF(16),and,0.588010311126709,9,54610,0,0,True,2,0,"[1, 3, 1, 4, 4, 0, 3, 2]"
baseline_plain,3,8,3,GF(16),and,8.58306884765625e-06,10,29,0,0,True,3,0,"[3, 7, 3, 7, 0, 0, 3, 6]"
logn_loglogn,3,8,3,GF(16),and,0.5946002006530762,9,54610,0,0,True,3,0,"[3, 7, 3, 7, 0, 0, 3, 6]"
baseline_plain,3,8,3,GF(16),and,9.298324584960938e-06,14,40,0,0,True,4,0,"[6, 7, 0, 3, 4, 3, 4, 4]"
logn_loglogn,3,8,3,GF(16),and,0.6343858242034912,9,54610,0,0,True,4,0,"[6, 7, 0, 3, 4, 3, 4, 4]"
baseline_plain,3,8,3,GF(16),and,9.5367431640625e-06,10,30,0,0,True,5,0,"[7, 2, 1, 1, 7, 2, 3, 2]"
logn_loglogn,3,8,3,GF(16),and,0.5739960670471191,9,54610,0,0,True,5,0,"[7, 2, 1, 1, 7, 2, 3, 2]"
baseline_plain,3,8,3,GF(16),and,3.5762786865234375e-05,13,18,0,0,True,6,0,"[2, 0, 4, 3, 4, 2, 7, 6]"
logn_loglogn,3,8,3,GF(16),and,0.5575516223907471,9,54610,0,0,True,6,0,"[2, 0, 4, 3, 4, 2, 7, 6]"
baseline_plain,3,8,3,GF(16),and,9.059906005859375e-06,8,9,0,0,True,7,0,"[0, 3, 1, 1, 0, 2, 5, 0]"
logn_loglogn,3,8,3,GF(16),and,0.5927276611328125,9,54610,0,0,True,7,0,"[0, 3, 1, 1, 0, 2, 5, 0]"
baseline_plain,3,8,3,GF(16),and,1.0013580322265625e-05,14,41,0,0,True,8,0,"[5, 5, 2, 1, 3, 5, 7, 7]"
